OpenJDK 64-Bit Server VM (25.0-b70) for linux-amd64 JRE (1.8.0-internal-rbruno_2015_06_16_18_57-b00), built on Feb 13 2017 22:45:11 by "root" with gcc 4.6.4
Memory: 4k page, physical 35197500k(34083656k free), swap 0k(0k free)
CommandLine flags: -XX:+CMSEdenChunksRecordAlways -XX:CMSInitiatingOccupancyFraction=75 -XX:+CMSParallelInitialMarkEnabled -XX:+CMSParallelRemarkEnabled -XX:CMSWaitDuration=10000 -XX:InitialHeapSize=4294967296 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=4294967296 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=1 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PerfDisableSharedMem -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=8 -XX:-TieredCompilation -XX:+UseCMSInitiatingOccupancyOnly -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseCondCardMark -XX:+UseParNewGC 
202.596: [GC (Allocation Failure) 202.596: [ParNew: 547083K->1445K(613440K), 0.0225782 secs] 1226119K->681320K(4126208K), 0.0225782 secs] [Times: user=0.07 sys=0.01, real=0.02 secs] 
211.057: [GC (Allocation Failure) 211.057: [ParNew: 546789K->1832K(613440K), 0.0251877 secs] 1226664K->682708K(4126208K), 0.0252748 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
220.137: [GC (Allocation Failure) 220.137: [ParNew: 547176K->1911K(613440K), 0.0341329 secs] 1228052K->683910K(4126208K), 0.0342189 secs] [Times: user=0.12 sys=0.00, real=0.04 secs] 
229.133: [GC (Allocation Failure) 229.133: [ParNew: 547255K->2098K(613440K), 0.0311341 secs] 1229254K->685446K(4126208K), 0.0311341 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
237.732: [GC (Allocation Failure) 237.732: [ParNew: 547442K->1440K(613440K), 0.0405394 secs] 1230790K->684972K(4126208K), 0.0406170 secs] [Times: user=0.15 sys=0.00, real=0.04 secs] 
246.509: [GC (Allocation Failure) 246.509: [ParNew: 546784K->1845K(613440K), 0.0246648 secs] 1230316K->686267K(4126208K), 0.0248322 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
255.431: [GC (Allocation Failure) 255.431: [ParNew: 547189K->1908K(613440K), 0.0219380 secs] 1231611K->687577K(4126208K), 0.0220236 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
264.001: [GC (Allocation Failure) 264.001: [ParNew: 547252K->1471K(613440K), 0.0327762 secs] 1232921K->688224K(4126208K), 0.0328394 secs] [Times: user=0.11 sys=0.01, real=0.03 secs] 
272.638: [GC (Allocation Failure) 272.638: [ParNew: 546815K->1584K(613440K), 0.0260313 secs] 1233568K->689315K(4126208K), 0.0261876 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
281.207: [GC (Allocation Failure) 281.207: [ParNew: 546928K->1526K(613440K), 0.0207181 secs] 1234659K->690038K(4126208K), 0.0208116 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
289.649: [GC (Allocation Failure) 289.649: [ParNew: 546870K->1811K(613440K), 0.0288207 secs] 1235382K->691374K(4126208K), 0.0288995 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
298.432: [GC (Allocation Failure) 298.432: [ParNew: 547155K->1777K(613440K), 0.0387338 secs] 1236718K->692709K(4126208K), 0.0387977 secs] [Times: user=0.17 sys=0.00, real=0.04 secs] 
307.142: [GC (Allocation Failure) 307.142: [ParNew: 547121K->2025K(613440K), 0.0201194 secs] 1238053K->694174K(4126208K), 0.0202709 secs] [Times: user=0.10 sys=0.00, real=0.02 secs] 
315.838: [GC (Allocation Failure) 315.838: [ParNew: 547369K->1310K(613440K), 0.0235133 secs] 1239518K->694606K(4126208K), 0.0235837 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
324.753: [GC (Allocation Failure) 324.753: [ParNew: 546654K->1407K(613440K), 0.0250327 secs] 1239950K->695698K(4126208K), 0.0251186 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
333.605: [GC (Allocation Failure) 333.605: [ParNew: 546751K->1338K(613440K), 0.0326731 secs] 1241042K->696604K(4126208K), 0.0327062 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
342.729: [GC (Allocation Failure) 342.729: [ParNew: 546682K->1467K(613440K), 0.0316078 secs] 1241948K->697660K(4126208K), 0.0316707 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
351.997: [GC (Allocation Failure) 351.997: [ParNew: 546811K->1559K(613440K), 0.0339331 secs] 1243004K->698710K(4126208K), 0.0340055 secs] [Times: user=0.10 sys=0.00, real=0.04 secs] 
360.614: [GC (Allocation Failure) 360.614: [ParNew: 546903K->1497K(613440K), 0.0317951 secs] 1244054K->699663K(4126208K), 0.0319335 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
369.245: [GC (Allocation Failure) 369.245: [ParNew: 546841K->1286K(613440K), 0.0249385 secs] 1245007K->700402K(4126208K), 0.0250175 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
377.611: [GC (Allocation Failure) 377.611: [ParNew: 546630K->1298K(613440K), 0.0260852 secs] 1245746K->701015K(4126208K), 0.0262455 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
386.281: [GC (Allocation Failure) 386.281: [ParNew: 546642K->1474K(613440K), 0.0248536 secs] 1246359K->702004K(4126208K), 0.0249263 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
394.668: [GC (Allocation Failure) 394.668: [ParNew: 546818K->1624K(613440K), 0.0235428 secs] 1247348K->703181K(4126208K), 0.0236422 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
402.942: [GC (Allocation Failure) 402.942: [ParNew: 546968K->1899K(613440K), 0.0299951 secs] 1248525K->704446K(4126208K), 0.0302021 secs] [Times: user=0.10 sys=0.01, real=0.03 secs] 
411.897: [GC (Allocation Failure) 411.897: [ParNew: 547243K->2531K(613440K), 0.0286363 secs] 1249790K->706298K(4126208K), 0.0287232 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
420.373: [GC (Allocation Failure) 420.373: [ParNew: 547875K->2058K(613440K), 0.0344073 secs] 1251642K->707580K(4126208K), 0.0344858 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
428.564: [GC (Allocation Failure) 428.564: [ParNew: 547402K->1161K(613440K), 0.0313537 secs] 1252924K->707164K(4126208K), 0.0314782 secs] [Times: user=0.10 sys=0.01, real=0.03 secs] 
437.093: [GC (Allocation Failure) 437.093: [ParNew: 546505K->1492K(613440K), 0.0394165 secs] 1252508K->708048K(4126208K), 0.0394808 secs] [Times: user=0.16 sys=0.00, real=0.04 secs] 
445.618: [GC (Allocation Failure) 445.618: [ParNew: 546836K->2071K(613440K), 0.0281355 secs] 1253392K->709936K(4126208K), 0.0282031 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
453.921: [GC (Allocation Failure) 453.922: [ParNew: 547415K->2099K(613440K), 0.0240145 secs] 1255280K->711438K(4126208K), 0.0241752 secs] [Times: user=0.10 sys=0.00, real=0.02 secs] 
462.322: [GC (Allocation Failure) 462.322: [ParNew: 547443K->1592K(613440K), 0.0267464 secs] 1256782K->712097K(4126208K), 0.0267464 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
470.582: [GC (Allocation Failure) 470.582: [ParNew: 546936K->1483K(613440K), 0.0271595 secs] 1257441K->713023K(4126208K), 0.0271595 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
478.845: [GC (Allocation Failure) 478.845: [ParNew: 546827K->1166K(613440K), 0.0287302 secs] 1258367K->713549K(4126208K), 0.0287302 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
487.107: [GC (Allocation Failure) 487.107: [ParNew: 546510K->1200K(613440K), 0.0202618 secs] 1258893K->714398K(4126208K), 0.0202618 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
495.323: [GC (Allocation Failure) 495.323: [ParNew: 546544K->1034K(613440K), 0.0382349 secs] 1259742K->715015K(4126208K), 0.0382349 secs] [Times: user=0.13 sys=0.00, real=0.04 secs] 
503.650: [GC (Allocation Failure) 503.650: [ParNew: 546378K->1378K(613440K), 0.0225029 secs] 1260359K->716105K(4126208K), 0.0225029 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
511.935: [GC (Allocation Failure) 511.935: [ParNew: 546722K->1375K(613440K), 0.0209297 secs] 1261449K->716966K(4126208K), 0.0210081 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
520.061: [GC (Allocation Failure) 520.061: [ParNew: 546719K->1048K(613440K), 0.0249704 secs] 1262310K->717469K(4126208K), 0.0251024 secs] [Times: user=0.10 sys=0.00, real=0.02 secs] 
528.453: [GC (Allocation Failure) 528.453: [ParNew: 546392K->1592K(613440K), 0.0245012 secs] 1262813K->718844K(4126208K), 0.0246620 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
536.959: [GC (Allocation Failure) 536.959: [ParNew: 546936K->1439K(613440K), 0.0270712 secs] 1264188K->719699K(4126208K), 0.0271110 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
545.062: [GC (Allocation Failure) 545.062: [ParNew: 546783K->1450K(613440K), 0.0282901 secs] 1265043K->720608K(4126208K), 0.0283754 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
553.254: [GC (Allocation Failure) 553.254: [ParNew: 546794K->1264K(613440K), 0.0290488 secs] 1265952K->721300K(4126208K), 0.0291380 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
561.696: [GC (Allocation Failure) 561.696: [ParNew: 546608K->1486K(613440K), 0.0361922 secs] 1266644K->722496K(4126208K), 0.0362762 secs] [Times: user=0.13 sys=0.00, real=0.04 secs] 
569.963: [GC (Allocation Failure) 569.963: [ParNew: 546830K->1440K(613440K), 0.0329728 secs] 1267840K->723380K(4126208K), 0.0331471 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
578.579: [GC (Allocation Failure) 578.579: [ParNew: 546784K->1649K(613440K), 0.0264942 secs] 1268724K->724466K(4126208K), 0.0266610 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
587.160: [GC (Allocation Failure) 587.160: [ParNew: 546993K->1112K(613440K), 0.0249738 secs] 1269810K->724857K(4126208K), 0.0252174 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
595.824: [GC (Allocation Failure) 595.824: [ParNew: 546456K->1399K(613440K), 0.0324244 secs] 1270201K->725976K(4126208K), 0.0325036 secs] [Times: user=0.11 sys=0.01, real=0.03 secs] 
605.327: [GC (Allocation Failure) 605.327: [ParNew: 546743K->1418K(613440K), 0.0310218 secs] 1271320K->726928K(4126208K), 0.0310993 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
615.104: [GC (Allocation Failure) 615.104: [ParNew: 546762K->1683K(613440K), 0.0288257 secs] 1272272K->728243K(4126208K), 0.0289968 secs] [Times: user=0.11 sys=0.01, real=0.03 secs] 
625.112: [GC (Allocation Failure) 625.112: [ParNew: 547027K->1641K(613440K), 0.0244170 secs] 1273587K->729350K(4126208K), 0.0245917 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
635.173: [GC (Allocation Failure) 635.173: [ParNew: 546985K->1789K(613440K), 0.0202536 secs] 1274694K->730553K(4126208K), 0.0203385 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
645.404: [GC (Allocation Failure) 645.404: [ParNew: 547133K->1627K(613440K), 0.0281938 secs] 1275897K->731372K(4126208K), 0.0282732 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
655.392: [GC (Allocation Failure) 655.392: [ParNew: 546971K->2025K(613440K), 0.0237444 secs] 1276716K->732868K(4126208K), 0.0241281 secs] [Times: user=0.10 sys=0.00, real=0.02 secs] 
665.180: [GC (Allocation Failure) 665.180: [ParNew: 547369K->1588K(613440K), 0.0300407 secs] 1278212K->733525K(4126208K), 0.0301966 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
675.205: [GC (Allocation Failure) 675.205: [ParNew: 546932K->1930K(613440K), 0.0251282 secs] 1278869K->734963K(4126208K), 0.0252143 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
684.910: [GC (Allocation Failure) 684.910: [ParNew: 547274K->1308K(613440K), 0.0346883 secs] 1280307K->735430K(4126208K), 0.0347737 secs] [Times: user=0.14 sys=0.00, real=0.03 secs] 
694.188: [GC (Allocation Failure) 694.188: [ParNew: 546652K->1621K(613440K), 0.0217085 secs] 1280774K->736845K(4126208K), 0.0217724 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
702.514: [GC (Allocation Failure) 702.514: [ParNew: 546965K->1146K(613440K), 0.0382385 secs] 1282189K->737511K(4126208K), 0.0382385 secs] [Times: user=0.15 sys=0.01, real=0.04 secs] 
710.984: [GC (Allocation Failure) 710.984: [ParNew: 546490K->1553K(613440K), 0.0401306 secs] 1282855K->738748K(4126208K), 0.0402129 secs] [Times: user=0.17 sys=0.00, real=0.04 secs] 
720.077: [GC (Allocation Failure) 720.077: [ParNew: 546897K->801K(613440K), 0.0310796 secs] 1284092K->738505K(4126208K), 0.0311488 secs] [Times: user=0.09 sys=0.00, real=0.04 secs] 
728.530: [GC (Allocation Failure) 728.530: [ParNew: 546145K->1033K(613440K), 0.0227073 secs] 1283849K->739075K(4126208K), 0.0228327 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
736.929: [GC (Allocation Failure) 736.929: [ParNew: 546377K->1328K(613440K), 0.0309494 secs] 1284419K->740251K(4126208K), 0.0309494 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
745.421: [GC (Allocation Failure) 745.421: [ParNew: 546672K->1036K(613440K), 0.0320820 secs] 1285595K->740800K(4126208K), 0.0321493 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
753.758: [GC (Allocation Failure) 753.758: [ParNew: 546380K->1257K(613440K), 0.0236601 secs] 1286144K->741852K(4126208K), 0.0236715 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
761.898: [GC (Allocation Failure) 761.898: [ParNew: 546601K->1486K(613440K), 0.0206778 secs] 1287196K->742922K(4126208K), 0.0207311 secs] [Times: user=0.07 sys=0.01, real=0.02 secs] 
769.993: [GC (Allocation Failure) 769.994: [ParNew: 546830K->1063K(613440K), 0.0307934 secs] 1288266K->743340K(4126208K), 0.0309589 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
778.342: [GC (Allocation Failure) 778.342: [ParNew: 546407K->979K(613440K), 0.0300278 secs] 1288684K->744112K(4126208K), 0.0302020 secs] [Times: user=0.10 sys=0.01, real=0.03 secs] 
786.615: [GC (Allocation Failure) 786.615: [ParNew: 546323K->1153K(613440K), 0.0242445 secs] 1289456K->745133K(4126208K), 0.0244161 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
794.911: [GC (Allocation Failure) 794.911: [ParNew: 546497K->1397K(613440K), 0.0253682 secs] 1290477K->746233K(4126208K), 0.0254473 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
803.748: [GC (Allocation Failure) 803.748: [ParNew: 546741K->1167K(613440K), 0.0230717 secs] 1291577K->746279K(4126208K), 0.0232976 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
811.821: [GC (Allocation Failure) 811.821: [ParNew: 546511K->1146K(613440K), 0.0266924 secs] 1291623K->746984K(4126208K), 0.0268684 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
819.934: [GC (Allocation Failure) 819.934: [ParNew: 546490K->1247K(613440K), 0.0251517 secs] 1292328K->747928K(4126208K), 0.0253160 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
828.144: [GC (Allocation Failure) 828.144: [ParNew: 546591K->1368K(613440K), 0.0216731 secs] 1293272K->748882K(4126208K), 0.0218437 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
836.520: [GC (Allocation Failure) 836.520: [ParNew: 546712K->1312K(613440K), 0.0206421 secs] 1294226K->749702K(4126208K), 0.0207325 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
844.602: [GC (Allocation Failure) 844.602: [ParNew: 546656K->1242K(613440K), 0.0248801 secs] 1295046K->750521K(4126208K), 0.0248801 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
852.540: [GC (Allocation Failure) 852.540: [ParNew: 546586K->1249K(613440K), 0.0313171 secs] 1295865K->751326K(4126208K), 0.0313762 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
860.553: [GC (Allocation Failure) 860.553: [ParNew: 546593K->1440K(613440K), 0.0231316 secs] 1296670K->752327K(4126208K), 0.0231316 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
868.700: [GC (Allocation Failure) 868.700: [ParNew: 546784K->1187K(613440K), 0.0279191 secs] 1297671K->752940K(4126208K), 0.0279191 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
876.592: [GC (Allocation Failure) 876.592: [ParNew: 546531K->1369K(613440K), 0.0248962 secs] 1298284K->753946K(4126208K), 0.0249856 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
884.752: [GC (Allocation Failure) 884.752: [ParNew: 546713K->1447K(613440K), 0.0334372 secs] 1299290K->754834K(4126208K), 0.0335214 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
893.031: [GC (Allocation Failure) 893.031: [ParNew: 546791K->983K(613440K), 0.0284484 secs] 1300178K->755026K(4126208K), 0.0284484 secs] [Times: user=0.10 sys=0.00, real=0.02 secs] 
900.783: [GC (Allocation Failure) 900.783: [ParNew: 546327K->964K(613440K), 0.0287537 secs] 1300370K->755355K(4126208K), 0.0288424 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
908.836: [GC (Allocation Failure) 908.837: [ParNew: 546308K->1208K(613440K), 0.0464350 secs] 1300699K->756407K(4126208K), 0.0465256 secs] [Times: user=0.18 sys=0.00, real=0.05 secs] 
916.756: [GC (Allocation Failure) 916.756: [ParNew: 546552K->1246K(613440K), 0.0313454 secs] 1301751K->757311K(4126208K), 0.0314037 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
